loan_status,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,debt_to_income_ratio,derog_pub_rec,mean_fico_scores,grade
Fully Paid,5000,36 months,10.65,162.87,10 +,RENT,24000,Verified,0,1,credit_card,27.65,0,737,B
Charged Off,2500,60 months,15.27,59.83,More than 1,RENT,30000,Source Verified,0,1,car,1,0,742,C
Fully Paid,2400,36 months,15.96,84.33,10 +,RENT,12252,Not Verified,0,0,small_business,8.72,0,737,C
Fully Paid,10000,36 months,13.49,339.31,10 +,RENT,49200,Source Verified,0,1,other,20,0,692,C
Fully Paid,5000,36 months,7.9,156.46,3,RENT,36000,Source Verified,0,0,wedding,11.2,0,732,A
Fully Paid,7000,60 months,15.96,170.08,8,RENT,47004,Not Verified,0,1,debt_consolidation,23.51,0,692,C
Fully Paid,3000,36 months,18.64,109.43,9,RENT,48000,Source Verified,0,1,car,5.35,0,662,E
Charged Off,5600,60 months,21.28,152.39,4,OWN,40000,Source Verified,0,1,small_business,5.55,0,677,F
Charged Off,5375,60 months,12.69,121.45,More than 1,RENT,15000,Verified,0,1,other,18.08,0,727,B
Fully Paid,6500,60 months,14.65,153.45,5,OWN,72000,Not Verified,0,1,debt_consolidation,16.12,0,697,C
Fully Paid,12000,36 months,12.69,402.54,10 +,OWN,75000,Source Verified,0,0,debt_consolidation,10.78,0,677,B
Charged Off,9000,36 months,13.49,305.38,More than 1,RENT,30000,Source Verified,0,1,debt_consolidation,10.08,0,712,C
Fully Paid,3000,36 months,9.91,96.68,3,RENT,15000,Source Verified,0,1,credit_card,12.56,0,707,B
Charged Off,10000,36 months,10.65,325.74,3,RENT,100000,Source Verified,0,0,other,7.06,0,722,B
Fully Paid,1000,36 months,16.29,35.31,More than 1,RENT,28000,Not Verified,0,0,debt_consolidation,20.31,0,667,D
Fully Paid,10000,36 months,15.27,347.98,4,RENT,42000,Not Verified,0,0,home_improvement,18.6,0,672,C
Fully Paid,3600,36 months,6.03,109.57,10 +,MORTGAGE,110000,Not Verified,0,1,major_purchase,10.52,0,762,A
Fully Paid,6000,36 months,11.71,198.46,unknown,MORTGAGE,84000,Verified,0,1,medical,18.44,0,687,B
Fully Paid,9200,36 months,6.03,280.01,6,RENT,77385.19,Not Verified,0,0,debt_consolidation,9.86,0,757,A
Fully Paid,20250,60 months,15.27,484.63,3,RENT,43370,Verified,0,1,debt_consolidation,26.53,0,727,C
Charged Off,21000,36 months,12.42,701.73,10 +,RENT,105000,Verified,0,1,debt_consolidation,13.22,0,707,B
Fully Paid,10000,36 months,11.71,330.76,10 +,OWN,50000,Source Verified,0,1,credit_card,11.18,0,692,B
Fully Paid,10000,36 months,11.71,330.76,5,RENT,50000,Not Verified,0,0,debt_consolidation,16.01,0,712,B
Charged Off,6000,36 months,11.71,198.46,unknown,RENT,76000,Not Verified,0,0,major_purchase,2.4,0,692,B
Fully Paid,15000,36 months,9.91,483.38,2,MORTGAGE,92000,Verified,0,0,credit_card,29.44,0,732,B
Charged Off,15000,36 months,14.27,514.64,9,RENT,60000,Not Verified,0,1,debt_consolidation,15.22,0,697,C
Charged Off,5000,60 months,16.77,123.65,2,RENT,50004,Not Verified,0,1,other,13.97,0,677,D
Fully Paid,4000,36 months,11.71,132.31,10 +,MORTGAGE,106000,Not Verified,0,0,debt_consolidation,5.63,0,682,B
Fully Paid,8500,36 months,11.71,281.15,More than 1,RENT,25000,Source Verified,0,1,credit_card,12.19,0,697,B
Fully Paid,4375,36 months,7.51,136.11,7,MORTGAGE,17108,Source Verified,0,1,debt_consolidation,20.34,0,737,A
Fully Paid,31825,36 months,7.9,995.82,5,MORTGAGE,75000,Verified,0,1,debt_consolidation,14.03,0,762,A
Fully Paid,5000,36 months,8.9,158.77,2,RENT,24044,Verified,0,1,debt_consolidation,11.93,0,702,A
Fully Paid,7000,36 months,15.96,245.97,7,RENT,34000,Source Verified,0,0,credit_card,6.35,0,677,C
Fully Paid,12400,36 months,10.65,403.91,10 +,RENT,41000,Not Verified,0,1,credit_card,11.8,0,722,B
Fully Paid,10800,36 months,9.91,348.03,2,RENT,55596,Source Verified,0,1,moving,5.5,0,707,B
Fully Paid,15000,36 months,7.9,469.36,unknown,RENT,45000,Verified,0,1,debt_consolidation,8.48,0,732,A
Fully Paid,6000,36 months,12.42,200.5,unknown,RENT,36852,Source Verified,0,1,debt_consolidation,10.62,0,697,B
Fully Paid,9600,36 months,7.51,298.67,4,RENT,68004,Source Verified,0,1,other,6.63,0,762,A
Fully Paid,12000,36 months,7.9,375.49,10 +,RENT,62300,Not Verified,0,1,debt_consolidation,16.7,0,727,A
Fully Paid,3000,36 months,18.25,108.84,9,MORTGAGE,65000,Not Verified,0,1,other,17.39,0,672,D
Fully Paid,4400,36 months,16.77,156.37,10 +,RENT,55000,Not Verified,0,0,debt_consolidation,20.01,0,692,D
Fully Paid,6000,36 months,6.03,182.62,10 +,MORTGAGE,45600,Not Verified,0,1,debt_consolidation,5.34,0,792,A
Fully Paid,14000,36 months,9.91,451.15,6,RENT,80000,Not Verified,0,1,small_business,10,0,727,B
Charged Off,5000,36 months,8.9,158.77,10 +,MORTGAGE,100000,Source Verified,0,0,debt_consolidation,16.33,0,707,A
Fully Paid,10000,36 months,10.65,325.74,6,RENT,27000,Verified,0,0,other,11.47,0,702,B
Fully Paid,10000,36 months,6.03,304.36,10 +,RENT,60000,Not Verified,0,0,credit_card,12.74,0,792,A
Fully Paid,11000,36 months,6.62,337.75,5,RENT,70000,Not Verified,0,0,debt_consolidation,10.85,0,752,A
Charged Off,15000,36 months,9.91,483.38,8,MORTGAGE,80000,Not Verified,0,1,debt_consolidation,9.12,0,732,B
Fully Paid,25600,36 months,9.91,824.96,9,RENT,110000,Verified,0,1,credit_card,15.71,0,727,B
Fully Paid,7000,36 months,10.65,228.02,More than 1,RENT,40000,Not Verified,0,0,debt_consolidation,7.38,0,702,B
Charged Off,12000,36 months,15.96,421.65,4,RENT,50000,Not Verified,0,0,car,20.88,0,677,C
Fully Paid,12000,36 months,9.91,386.7,unknown,RENT,46000,Not Verified,0,1,credit_card,8.11,0,732,B
Charged Off,21000,60 months,19.91,555.33,7,RENT,50000,Verified,0,1,debt_consolidation,21.58,0,682,E
Fully Paid,16000,60 months,19.91,423.11,7,RENT,81000,Verified,0,1,credit_card,20.52,0,667,E
Fully Paid,10000,36 months,12.42,334.16,More than 1,OWN,39000,Not Verified,0,0,debt_consolidation,18.58,0,687,B
Fully Paid,10000,36 months,10.65,325.74,2,RENT,51400,Not Verified,0,1,credit_card,19.14,0,717,B
Fully Paid,7100,36 months,16.77,252.33,unknown,MORTGAGE,33000,Verified,0,1,debt_consolidation,24,0,682,D
Fully Paid,13000,60 months,12.69,293.74,More than 1,MORTGAGE,30000,Source Verified,0,1,debt_consolidation,13.72,0,732,B
Fully Paid,17500,60 months,17.27,223.74,6,RENT,40000,Verified,0,1,small_business,19.47,0,707,D
Fully Paid,17675,60 months,14.65,417.25,More than 1,RENT,50000,Source Verified,0,1,debt_consolidation,16.46,0,722,C
Fully Paid,8000,36 months,16.77,284.31,More than 1,RENT,62000,Not Verified,0,1,debt_consolidation,21.64,0,662,D
Charged Off,10000,60 months,10.65,215.69,10 +,RENT,45996,Verified,0,0,debt_consolidation,21.73,0,757,B
Fully Paid,3500,36 months,10.65,114.01,7,MORTGAGE,55000,Not Verified,0,1,debt_consolidation,5.39,0,702,B
Charged Off,12500,60 months,17.27,223.11,5,RENT,30000,Source Verified,0,1,debt_consolidation,13.16,1,692,D
Fully Paid,16425,36 months,14.27,563.53,4,RENT,44544,Source Verified,0,1,debt_consolidation,22.71,0,697,C
Charged Off,8200,60 months,21.28,223.14,4,RENT,75000,Source Verified,0,1,small_business,12.48,0,677,F
Fully Paid,15000,36 months,14.65,517.42,2,OWN,61000,Verified,0,1,credit_card,11.88,0,687,C
Fully Paid,20975,60 months,17.58,341.63,5,MORTGAGE,44000,Verified,0,1,credit_card,18.79,1,687,D
Charged Off,6400,36 months,16.77,227.45,5,RENT,75000,Not Verified,0,1,debt_consolidation,20.22,0,662,D
Fully Paid,3000,36 months,13.49,101.8,unknown,RENT,33600,Not Verified,0,0,debt_consolidation,18.11,0,672,C
Fully Paid,12000,36 months,16.77,426.47,3,RENT,50000,Not Verified,0,1,credit_card,20.57,0,677,D
Fully Paid,14400,36 months,8.9,457.25,More than 1,OWN,150000,Source Verified,0,1,debt_consolidation,14.85,0,722,A
Fully Paid,12000,36 months,14.65,413.94,10 +,RENT,90000,Not Verified,0,0,debt_consolidation,16.56,0,677,C
Fully Paid,11000,36 months,13.49,373.24,10 +,MORTGAGE,48000,Verified,0,0,debt_consolidation,21.82,0,692,C
Fully Paid,7250,60 months,21.67,197.51,More than 1,RENT,75000,Verified,0,1,debt_consolidation,24.82,1,682,F
Fully Paid,15000,36 months,7.9,469.36,unknown,MORTGAGE,52000,Not Verified,0,0,small_business,9.65,0,767,A
Fully Paid,18000,60 months,19.91,475.99,10 +,MORTGAGE,65000,Not Verified,0,1,debt_consolidation,6.81,0,662,E
Fully Paid,35000,60 months,17.27,551.84,3,MORTGAGE,150000,Verified,0,0,home_improvement,7.51,0,727,D
Fully Paid,10000,36 months,14.27,343.09,2,RENT,68000,Source Verified,0,1,credit_card,15.39,0,682,C
Fully Paid,11800,36 months,12.69,395.83,6,RENT,42000,Source Verified,0,1,credit_card,9.86,0,692,B
Fully Paid,4500,36 months,6.03,136.96,4,RENT,53000,Source Verified,0,0,major_purchase,4.44,0,762,A
Fully Paid,7000,36 months,12.69,234.82,10 +,RENT,35000,Source Verified,0,1,credit_card,11.35,0,682,B
Fully Paid,9200,36 months,12.42,307.43,2,RENT,60000,Source Verified,0,1,debt_consolidation,19.96,0,702,B
Fully Paid,4500,60 months,10.65,97.06,More than 1,MORTGAGE,42000,Source Verified,0,1,car,5.4,0,752,B
Fully Paid,12000,36 months,16.29,423.61,9,RENT,88365,Verified,0,1,debt_consolidation,16.85,0,682,D
Fully Paid,12000,36 months,13.49,407.17,4,RENT,72000,Source Verified,0,1,debt_consolidation,21.33,0,687,C
Fully Paid,12000,36 months,10.65,390.88,More than 1,RENT,62000,Verified,0,1,credit_card,23.94,0,702,B
Fully Paid,7000,36 months,10.65,228.02,3,MORTGAGE,43680,Not Verified,0,1,credit_card,5.38,0,687,B
Fully Paid,8200,60 months,19.42,214.62,3,RENT,120000,Source Verified,0,0,debt_consolidation,2.8,0,687,E
Fully Paid,10500,36 months,12.69,352.23,10 +,RENT,66000,Verified,0,1,medical,20.73,0,697,B
Fully Paid,7000,36 months,11.71,231.54,4,OWN,39120,Not Verified,0,0,debt_consolidation,21.01,1,677,B
Fully Paid,20000,60 months,11.71,282.86,4,MORTGAGE,47800,Verified,0,0,debt_consolidation,10.04,0,742,B
Charged Off,17500,60 months,17.27,437.47,7,MORTGAGE,45000,Not Verified,0,1,credit_card,21.31,0,702,D
Fully Paid,3500,36 months,6.03,106.53,10 +,MORTGAGE,83000,Verified,0,1,car,2.31,0,747,A
Charged Off,6200,36 months,9.91,199.8,2,RENT,25000,Not Verified,0,1,debt_consolidation,20.64,0,712,B
Fully Paid,16000,60 months,17.58,402.65,7,RENT,65000,Not Verified,0,1,debt_consolidation,15.56,0,697,D
Fully Paid,6000,36 months,8.9,190.52,8,OWN,28800,Not Verified,0,1,debt_consolidation,13.17,0,702,A
